1_0_2_1F69_1_10_640000_0_0_0           |  83 Fun Kids                                      |  1F69_1_10_640000=--------                               |  83funkids=funkids
1_0_2_1F6A_1_10_640000_0_0_0           |  84 Talk Sport                                    |  1F6A_1_10_640000=--------                               |  84talksport=talksport
1_0_2_1F6B_1_10_640000_0_0_0           |  85 BFBS Blandford                                |  1F6B_1_10_640000=--------                               |  85bfbsblandford=bfbsblandford
1_0_2_1F6C_1_10_640000_0_0_0           |  86 BFBS Scotland                                 |  1F6C_1_10_640000=--------                               |  86bfbsscotland=bfbsscotland
1_0_2_1F6D_1_10_640000_0_0_0           |  87 BFBS BZN                                      |  1F6D_1_10_640000=--------                               |  87bfbsbzn=bfbsbrizenorton
1_0_16_2218_1_10_640000_0_0_0          |  8728 Quadrille Data                              |  2218_1_10_640000=--------                               |  8728quadrilledata=--------
1_0_2_1F6E_1_10_640000_0_0_0           |  88                                               |  1F6E_1_10_640000=--------                               |  88=--------
1_0_2_14BF_A929_2A_1A40000_0_0_0       |  90'S HITS                                        |  14BF_A929_2A_1A40000=--------                           |  90shits=--------
1_0_2_1F6F_1_10_640000_0_0_0           |  91 Gibraltar                                     |  1F6F_1_10_640000=--------                               |  91gibraltar=bfbsgibraltar
1_0_2_1F5C_1_10_640000_0_0_0           |  92 (Contribution)                                |  1F5C_1_10_640000=--------                               |  92contribution=--------
1_0_2_1F64_1_10_640000_0_0_0           |  93                                               |  1F64_1_10_640000=--------                               |  93=--------
1_0_2_1F71_1_10_640000_0_0_0           |  94                                               |  1F71_1_10_640000=--------                               |  94=--------
1_0_2_1F72_1_10_640000_0_0_0           |  95                                               |  1F72_1_10_640000=--------                               |  95=--------
1_0_C_1000_1_10_640000_0_0_0           |  99(DATA)                                         |  1000_1_10_640000=--------                               |  99data=--------
1_0_16_1C25_384_110_5A0000_0_0_0       |  9Novanta                                         |  1C25_384_110_5A0000=--------                            |  9novanta=--------
1_0_16_3F6_AF1_BB_E080000_0_0_0        |  :24                                              |  3F6_AF1_BB_E080000=rtvs24                               |  24=24
1_0_1F_4B5_76C1_16E_A00000_0_0_0       |  :24                                              |  4B5_76C1_16E_A00000=rtvs24                              |  24=24
1_0_19_1B74_AF7_BB_E080000_0_0_0       |  :SPORT HD                                        |  1B74_AF7_BB_E080000=rtvssport                           |  sporthd=skysport
1_0_1F_4C8_76C1_16E_A00000_0_0_0       |  :Sport HD                                        |  4C8_76C1_16E_A00000=rtvssport                           |  sporthd=skysport
1_0_2_7D0_4300_1_A02B2E_0_0_0          |  >Slam! Main                                      |  7D0_4300_1_A02B2E=--------                              |  slammain=slam
1_0_16_2DD_3_0_208B05C_0_0_0           |  ? ??                                             |  2DD_3_0_208B05C=--------                                |  --------=--------
1_0_1_CE_66_1_3200000_0_0_0            |  ? ??                                             |  CE_66_1_3200000=--------                                |  --------=--------
1_0_1_38F_CF_1_3200000_0_0_0           |  ? ?????? ? ??????                                |  38F_CF_1_3200000=--------                               |  --------=--------
1_0_1_278_2_0_208B035_0_0_0            |  ? ?????? ? ?????? HD                             |  278_2_0_208B035=--------                                |  hd=--------
1_0_1_265_CC_1_3200000_0_0_0           |  ?24                                              |  265_CC_1_3200000=--------                               |  24=24
1_0_1_2C7_3_0_208B05C_0_0_0            |  ?24                                              |  2C7_3_0_208B05C=--------                                |  24=24
1_0_1_2F1_D2_1_3200000_0_0_0           |  ??                                               |  2F1_D2_1_3200000=--------                               |  --------=--------
1_0_1_332_4_0_2082A5D_0_0_0            |  ?? 21                                            |  332_4_0_2082A5D=--------                                |  21=--------
1_0_1_394_CF_1_3200000_0_0_0           |  ?? ??                                            |  394_CF_1_3200000=--------                               |  --------=--------
1_0_1_2F9_D2_1_3200000_0_0_0           |  ?? ????? (+7)                                    |  2F9_D2_1_3200000=--------                               |  plus7=--------
1_0_1_211_CB_1_3200000_0_0_0           |  ?? ????? ??????                                  |  211_CB_1_3200000=--------                               |  --------=--------
1_0_16_139A_2710_D5_820000_0_0_0       |  ??+                                              |  139A_2710_D5_820000=bgplus                              |  plus=--------
1_0_1_DB_66_1_3200000_0_0_0            |  ??-3                                             |  DB_66_1_3200000=--------                                |  3=--------
1_0_1_357_D1_1_3200000_0_0_0           |  ??-3 HD                                          |  357_D1_1_3200000=--------                               |  3hd=channel3thailandhd
1_0_1_201_1_0_208AFC2_0_0_0            |  ??-3 Int                                         |  201_1_0_208AFC2=--------                                |  3int=--------
1_0_19_4_A_2C_300000_0_0_0             |  ??-???????                                       |  4_A_2C_300000=--------                                  |  --------=--------
1_0_19_4_A_2C_30ADE3_0_0_0             |  ??-???????                                       |  4_A_2C_30ADE3=--------                                  |  --------=--------
1_0_19_4_A_2C_EB0000_0_0_0             |  ??-???????                                       |  4_A_2C_EB0000=--------                                  |  --------=--------
1_0_16_2E4_2_1_1860000_0_0_0           |  ???                                              |  2E4_2_1_1860000=vtk                                     |  --------=--------
1_0_1_1FA_1_0_208AFC2_0_0_0            |  ???                                              |  1FA_1_0_208AFC2=--------                                |  --------=--------
1_0_1_270_CC_1_3200000_0_0_0           |  ???                                              |  270_CC_1_3200000=--------                               |  --------=--------
1_0_1_271_CC_1_3200000_0_0_0           |  ???                                              |  271_CC_1_3200000=--------                               |  --------=--------
1_0_1_2C4_CD_1_3200000_0_0_0           |  ???                                              |  2C4_CD_1_3200000=--------                               |  --------=--------
1_0_1_2D7_CD_1_3200000_0_0_0           |  ???                                              |  2D7_CD_1_3200000=--------                               |  --------=--------
1_0_1_2D9_CD_1_3200000_0_0_0           |  ???                                              |  2D9_CD_1_3200000=--------                               |  --------=--------
1_0_1_2DC_3_0_208B05C_0_0_0            |  ???                                              |  2DC_3_0_208B05C=--------                                |  --------=--------
1_0_1_323_CE_1_3200000_0_0_0           |  ???                                              |  323_CE_1_3200000=--------                               |  --------=--------
1_0_1_39E_5_0_2082A87_0_0_0            |  ???                                              |  39E_5_0_2082A87=--------                                |  --------=--------
1_0_1_3A0_5_0_2082A87_0_0_0            |  ???                                              |  3A0_5_0_2082A87=--------                                |  --------=--------
1_0_1_3FA_6_AA_5A0000_0_0_0            |  ???                                              |  3FA_6_AA_5A0000=art                                     |  --------=--------
1_0_1_69_65_1_3200000_0_0_0            |  ???                                              |  69_65_1_3200000=--------                                |  --------=--------
1_0_1_6B_65_1_3200000_0_0_0            |  ???                                              |  6B_65_1_3200000=--------                                |  --------=--------
1_0_1_6C_65_1_3200000_0_0_0            |  ???                                              |  6C_65_1_3200000=--------                                |  --------=--------
1_0_1_6E_65_1_3200000_0_0_0            |  ???                                              |  6E_65_1_3200000=--------                                |  --------=--------
1_0_1_1F8_CB_1_3200000_0_0_0           |  ??? (+2)                                         |  1F8_CB_1_3200000=--------                               |  plus2=--------
1_0_1_20F_CB_1_3200000_0_0_0           |  ??? (+2)                                         |  20F_CB_1_3200000=--------                               |  plus2=--------
1_0_1_324_CE_1_3200000_0_0_0           |  ??? (+2)                                         |  324_CE_1_3200000=--------                               |  plus2=--------
1_0_1_32B_CE_1_3200000_0_0_0           |  ??? (+2)                                         |  32B_CE_1_3200000=--------                               |  plus2=--------
1_0_1_3BA_D0_1_3200000_0_0_0           |  ??? (+4)                                         |  3BA_D0_1_3200000=--------                               |  plus4=--------
1_0_1_3C8_D0_1_3200000_0_0_0           |  ??? (+4)                                         |  3C8_D0_1_3200000=--------                               |  plus4=--------
1_0_1_3D0_D0_1_3200000_0_0_0           |  ??? (+4)                                         |  3D0_D0_1_3200000=--------                               |  plus4=--------
1_0_1_19C_CA_1_3200000_0_0_0           |  ??? (+7)                                         |  19C_CA_1_3200000=--------                               |  plus7=--------
