1_0_0_1_0_0_463159_0_0_0               |                                                   |  1_0_0_463159=simayazadiirannationaltv                   |  =--------
1_0_19_282_C418_16E_A00000_0_0_0       |  Eurosport 1 HD                                   |  282_C418_16E_A00000=--------                            |  eurosport 1 hd=eurosport1hd
1_0_19_30D6_413_1_C00000_0_0_0         |  Eurosport 1 HD                                   |  30D6_413_1_C00000=--------                              |  eurosport 1 hd=eurosport1hd
1_0_19_4E3A_CA7_3_EB0000_0_0_0         |  Eurosport 1 HD                                   |  4E3A_CA7_3_EB0000=--------                              |  eurosport 1 hd=eurosport1hd
1_0_19_7D0_449_1_C00000_0_0_0          |  Eurosport 1 HD                                   |  7D0_449_1_C00000=--------                               |  eurosport 1 hd=eurosport1hd
1_0_19_7DF_AF2_BB_E080000_0_0_0        |  Eurosport 1 HD                                   |  7DF_AF2_BB_E080000=--------                             |  eurosport 1 hd=eurosport1hd
1_0_19_CD_14B4_9C_5A0000_0_0_0         |  Eurosport 1 HD                                   |  CD_14B4_9C_5A0000=--------                              |  eurosport 1 hd=eurosport1hd
1_0_1F_9F1_18_44_300000_0_0_0          |  Eurosport 1 HD                                   |  9F1_18_44_300000=--------                               |  eurosport 1 hd=eurosport1hd
1_0_1_13AA_27_36_CE40000_0_0_0         |  Eurosport 1 HD                                   |  13AA_27_36_CE40000=eurosport1                           |  eurosport 1 hd=eurosport1hd
1_0_1_199_27_36_CE40000_0_0_0          |  Eurosport 1 HD                                   |  199_27_36_CE40000=eurosport1                            |  eurosport 1 hd=eurosport1hd
1_0_1_2BF_20B_73_2080000_0_0_0         |  Eurosport 1 HD                                   |  2BF_20B_73_2080000=--------                             |  eurosport 1 hd=eurosport1hd
1_0_1_D2_12_3_130000_0_0_0             |  Eurosport 1 HD                                   |  D2_12_3_130000=--------                                 |  eurosport 1 hd=eurosport1hd
1_0_19_1C1C_30_46_E080000_0_0_0        |  Eurosport 1 HD (D)                               |  1C1C_30_46_E080000=--------                             |  eurosport 1 hd (d)=eurosport1hd
1_0_19_1C25_30_46_E080000_0_0_0        |  Eurosport 1 HD (F)                               |  1C25_30_46_E080000=--------                             |  eurosport 1 hd (f)=eurosport1hd
1_0_19_1C69_30_46_E080000_0_0_0        |  Eurosport 1 HD (N)                               |  1C69_30_46_E080000=--------                             |  eurosport 1 hd (n)=eurosport1hd
1_0_19_1C6B_30_46_E080000_0_0_0        |  Eurosport 1 HD (S)                               |  1C6B_30_46_E080000=--------                             |  eurosport 1 hd (s)=eurosport1hd
1_0_19_30EA_413_1_C00000_0_0_0         |  Eurosport 1 HD Austria                           |  30EA_413_1_C00000=--------                              |  eurosport 1 hd austria=eurosport1hd
1_0_19_7D2_449_1_C00000_0_0_0          |  Eurosport 1 HD Austria                           |  7D2_449_1_C00000=--------                               |  eurosport 1 hd austria=eurosport1hd
1_0_19_2BD_2BC_13E_820000_0_0_0        |  Eurosport 1 International HD                     |  2BD_2BC_13E_820000=--------                             |  eurosport 1 international hd=eurosport1
1_0_19_11F8_1_1_D7A9E3_0_0_0           |  Eurosport 1 NEE HD                               |  11F8_1_1_D7A9E3=--------                                |  eurosport 1 nee hd=eurosport1
1_0_19_3B67_12C_13E_820000_0_0_0       |  Eurosport 1 Poland HD                            |  3B67_12C_13E_820000=--------                            |  eurosport 1 poland hd=eurosport1hd
1_0_19_2F0_2BC_13E_820000_0_0_0        |  Eurosport 1 Serbian HD                           |  2F0_2BC_13E_820000=--------                             |  eurosport 1 serbian hd=eurosport1
1_0_16_71A_C5A8_16E_A00000_0_0_0       |  Eurosport 2                                      |  71A_C5A8_16E_A00000=--------                            |  eurosport 2=eurosport2
1_0_16_D7_25E4_D5_820000_0_0_0         |  Eurosport 2                                      |  D7_25E4_D5_820000=--------                              |  eurosport 2=eurosport2
1_0_19_1F6_1_1_1862FEF_0_0_0           |  Eurosport 2                                      |  1F6_1_1_1862FEF=--------                                |  eurosport 2=eurosport2
1_0_1F_91_B1_39E_1860000_0_0_0         |  Eurosport 2                                      |  91_B1_39E_1860000=--------                              |  eurosport 2=eurosport2
1_0_1_141_26_36_CE40000_0_0_0          |  Eurosport 2                                      |  141_26_36_CE40000=--------                              |  eurosport 2=eurosport2
1_0_1_1787_26_36_CE40000_0_0_0         |  Eurosport 2                                      |  1787_26_36_CE40000=--------                             |  eurosport 2=eurosport2
1_0_1_2977_0_0_30AEA2_0_0_0            |  Eurosport 2                                      |  2977_0_0_30AEA2=--------                                |  eurosport 2=eurosport2
1_0_1_D1_D_1C_1860000_0_0_0            |  Eurosport 2                                      |  D1_D_1C_1860000=--------                                |  eurosport 2=eurosport2
1_0_19_1AF4_C3BE_9E_5A0000_0_0_0       |  Eurosport 2 France HD                            |  1AF4_C3BE_9E_5A0000=--------                            |  eurosport 2 france hd=eurosport2
1_0_19_2F2_2BC_13E_820000_0_0_0        |  Eurosport 2 Greek HD                             |  2F2_2BC_13E_820000=--------                             |  eurosport 2 greek hd=eurosport2
1_0_19_2BC_146C_A7_1860000_0_0_0       |  Eurosport 2 HD                                   |  2BC_146C_A7_1860000=--------                            |  eurosport 2 hd=eurosport2hd
1_0_19_4E3B_CA7_3_EB0000_0_0_0         |  Eurosport 2 HD                                   |  4E3B_CA7_3_EB0000=--------                              |  eurosport 2 hd=eurosport2hd
1_0_19_7E0_AF2_BB_E080000_0_0_0        |  Eurosport 2 HD                                   |  7E0_AF2_BB_E080000=--------                             |  eurosport 2 hd=eurosport2hd
1_0_1F_4B1_76C1_16E_A00000_0_0_0       |  Eurosport 2 HD                                   |  4B1_76C1_16E_A00000=--------                            |  eurosport 2 hd=eurosport2hd
1_0_1F_BC2_18_44_300000_0_0_0          |  Eurosport 2 HD                                   |  BC2_18_44_300000=--------                               |  eurosport 2 hd=eurosport2hd
1_0_1_2C0_20B_73_2080000_0_0_0         |  Eurosport 2 HD                                   |  2C0_20B_73_2080000=--------                             |  eurosport 2 hd=eurosport2hd
1_0_1_D3_12_3_130000_0_0_0             |  Eurosport 2 HD                                   |  D3_12_3_130000=--------                                 |  eurosport 2 hd=eurosport2hd
1_0_19_1C51_30_46_E080000_0_0_0        |  Eurosport 2 HD (D)                               |  1C51_30_46_E080000=--------                             |  eurosport 2 hd (d)=eurosport2hd
1_0_19_1C6D_30_46_E080000_0_0_0        |  Eurosport 2 HD (S/F)                             |  1C6D_30_46_E080000=--------                             |  eurosport 2 hd (s/f)=--------
1_0_1_A1E_5_1_E080000_0_0_0            |  Eurosport 2 HU                                   |  A1E_5_1_E080000=--------                                |  eurosport 2 hu=eurosport2
1_0_19_2BE_2BC_13E_820000_0_0_0        |  Eurosport 2 International HD                     |  2BE_2BC_13E_820000=--------                             |  eurosport 2 international hd=eurosport2
1_0_19_125C_1_1_D7A9E3_0_0_0           |  Eurosport 2 NEE HD                               |  125C_1_1_D7A9E3=--------                                |  eurosport 2 nee hd=eurosport2
1_0_19_3B68_12C_13E_820000_0_0_0       |  Eurosport 2 Poland HD                            |  3B68_12C_13E_820000=--------                            |  eurosport 2 poland hd=eurosport2hd
1_0_1_D2A_1_1_E08318F_0_0_0            |  Eurosport 2 RO                                   |  D2A_1_1_E08318F=--------                                |  eurosport 2 ro=eurosport2
1_0_19_2F1_2BC_13E_820000_0_0_0        |  Eurosport 2 Serbian HD                           |  2F1_2BC_13E_820000=--------                             |  eurosport 2 serbian hd=eurosport2hd
1_0_19_16_5_1_1860000_0_0_0            |  Eurosport HD                                     |  16_5_1_1860000=--------                                 |  eurosport hd=eurosport1hd
1_0_1_4A3_3_1_E080000_0_0_0            |  Eurosport HU                                     |  4A3_3_1_E080000=--------                                |  eurosport hu=digisport2
1_0_19_1C6C_30_46_E080000_0_0_0        |  Eurosport Norge HD                               |  1C6C_30_46_E080000=--------                             |  eurosport norge hd=eurosportnorge
1_0_2_A3F_1A_2BE_1040000_0_0_0         |  Eurpean Radio                                    |  A3F_1A_2BE_1040000=--------                             |  eurpean radio=saudiaradio
1_0_1_4267_2F44_13E_820000_0_0_0       |  Eutelsat Data 1                                  |  4267_2F44_13E_820000=--------                           |  eutelsat data 1=--------
1_0_1_50A_A0F0_396_DCA0000_0_0_0       |  Eutelsat Data 1                                  |  50A_A0F0_396_DCA0000=--------                           |  eutelsat data 1=--------
1_0_1_636_A21C_77E_DCA0000_0_0_0       |  Eutelsat Data 1                                  |  636_A21C_77E_DCA0000=--------                           |  eutelsat data 1=--------
1_0_1_69A_2454_13E_820000_0_0_0        |  Eutelsat Data 1                                  |  69A_2454_13E_820000=--------                            |  eutelsat data 1=--------
1_0_1_AEF_1_2A_DC00000_0_0_0           |  Eutelsat Data 1                                  |  AEF_1_2A_DC00000=--------                               |  eutelsat data 1=--------
1_0_1_15A_8_3_130000_0_0_0             |  Evil Angel HD                                    |  15A_8_3_130000=--------                                 |  evil angel hd=evilangeltv
1_0_16_EB_2_1_1860000_0_0_0            |  Evrokom                                          |  EB_2_1_1860000=--------                                 |  evrokom=evrokom
1_0_1F_F7_B2_39E_1860000_0_0_0         |  Evrokom                                          |  F7_B2_39E_1860000=--------                              |  evrokom=evrokom
1_0_19_104_15_3_130000_0_0_0           |  Evrokom HD                                       |  104_15_3_130000=--------                                |  evrokom hd=evrokom
1_0_2_1358_CA2_3_EB0000_0_0_0          |  Expres S                                         |  1358_CA2_3_EB0000=--------                              |  expres s=radioexpres
1_0_2_1359_CA2_3_EB0000_0_0_0          |  Expres V                                         |  1359_CA2_3_EB0000=--------                              |  expres v=radioexpres
1_0_2_1357_CA2_3_EB0000_0_0_0          |  Expres Z                                         |  1357_CA2_3_EB0000=--------                              |  expres z=radioexpres
1_0_1F_259_C418_16E_A00000_0_0_0       |  Extasy 4K Platinum                               |  259_C418_16E_A00000=--------                            |  extasy 4k platinum=extasy
1_0_19_4BB_76C1_16E_A00000_0_0_0       |  Extasy HD                                        |  4BB_76C1_16E_A00000=--------                            |  extasy hd=extasy
1_0_1_132A_31_800_DCA0000_0_0_0        |  Extra Live SD                                    |  132A_31_800_DCA0000=--------                            |  extra live sd=extralive
1_0_1_70E_12_800_DCA0000_0_0_0         |  Extra News                                       |  70E_12_800_DCA0000=--------                             |  extra news=extranews
1_0_19_8FD_17_800_DCA0000_0_0_0        |  Extra News HD                                    |  8FD_17_800_DCA0000=--------                             |  extra news hd=extranews
1_0_1_19D_CA_1_3200000_0_0_0           |  Extreme                                          |  19D_CA_1_3200000=--------                               |  extreme=extremesports
1_0_1_290A_1EDC_71_820000_0_0_0        |  Extreme Sports HD                                |  290A_1EDC_71_820000=--------                            |  extreme sports hd=extremesportshd
1_0_16_5D_2_40_A00000_0_0_0            |  Extreme Sports.                                  |  5D_2_40_A00000=--------                                 |  extreme sports.=--------
1_0_1_C582_6_49_2AD0000_0_0_0          |  Ezekiel HD                                       |  C582_6_49_2AD0000=--------                              |  ezekiel hd=--------
1_0_1_22DB_434_1_C00000_0_0_0          |  F3 ALPES                                         |  22DB_434_1_C00000=--------                              |  f3 alpes=france3alpes
1_0_1_22D1_434_1_C00000_0_0_0          |  F3 ALSACE                                        |  22D1_434_1_C00000=--------                              |  f3 alsace=france3alsace
1_0_1_207B_432_1_C00000_0_0_0          |  F3 AQUITAINE                                     |  207B_432_1_C00000=--------                              |  f3 aquitaine=france3aquitaine
1_0_1_24C9_43C_1_C00000_0_0_0          |  F3 AUVERGNE                                      |  24C9_43C_1_C00000=--------                              |  f3 auvergne=france3
1_0_1_22DA_434_1_C00000_0_0_0          |  F3 BOURGOGNE                                     |  22DA_434_1_C00000=--------                              |  f3 bourgogne=france3bourgogne
1_0_1_200F_430_1_C00000_0_0_0          |  F3 BRETAGNE                                      |  200F_430_1_C00000=--------                              |  f3 bretagne=france3bretagne
1_0_1_22E0_434_1_C00000_0_0_0          |  F3 CENTRE                                        |  22E0_434_1_C00000=--------                              |  f3 centre=france3centre
1_0_1_22CF_434_1_C00000_0_0_0          |  F3 CHAMP ARDENNE                                 |  22CF_434_1_C00000=--------                              |  f3 champ ardenne=france3champagneardenne
1_0_1_2270_438_1_C00000_0_0_0          |  F3 CORSEVIASTELLA                                |  2270_438_1_C00000=--------                              |  f3 corseviastella=france3corse
1_0_1_22E1_434_1_C00000_0_0_0          |  F3 COTE D'AZUR                                   |  22E1_434_1_C00000=--------                              |  f3 cote d'azur=france3cotedazur
1_0_1_22D9_434_1_C00000_0_0_0          |  F3 FRANCHE COMTE                                 |  22D9_434_1_C00000=--------                              |  f3 franche comte=france3franchecomte
1_0_1_2464_440_1_C00000_0_0_0          |  F3 LANGUEDOCROUS                                 |  2464_440_1_C00000=--------                              |  f3 languedocrous=france3languedocroussillon
1_0_1_22DC_434_1_C00000_0_0_0          |  F3 LIMOUSIN                                      |  22DC_434_1_C00000=--------                              |  f3 limousin=france3limousin
1_0_1_22DD_434_1_C00000_0_0_0          |  F3 LORRAINE                                      |  22DD_434_1_C00000=--------                              |  f3 lorraine=france3lorraine
1_0_1_22D2_434_1_C00000_0_0_0          |  F3 MIDI PYRENEES                                 |  22D2_434_1_C00000=--------                              |  f3 midi pyrenees=france3midipyrenees
1_0_1_22DF_434_1_C00000_0_0_0          |  F3 NOA                                           |  22DF_434_1_C00000=--------                              |  f3 noa=france3nouvelleaquitaine
1_0_1_246A_440_1_C00000_0_0_0          |  F3 NORD                                          |  246A_440_1_C00000=--------                              |  f3 nord=france3nordpasdecalais
1_0_1_232F_442_1_C00000_0_0_0          |  F3 NORMANDIE B                                   |  232F_442_1_C00000=--------                              |  f3 normandie b=france3normandie
1_0_1_22D0_434_1_C00000_0_0_0          |  F3 NORMANDIE H                                   |  22D0_434_1_C00000=--------                              |  f3 normandie h=france3normandie
1_0_1_22CA_434_1_C00000_0_0_0          |  F3 PARIS IDF                                     |  22CA_434_1_C00000=--------                              |  f3 paris idf=france3parisiledefrance
1_0_1_2333_442_1_C00000_0_0_0          |  F3 PAYS DE LA LOIRE                              |  2333_442_1_C00000=--------                              |  f3 pays de la loire=france3paysdelaloire
1_0_1_22C9_434_1_C00000_0_0_0          |  F3 PICARDIE                                      |  22C9_434_1_C00000=--------                              |  f3 picardie=france3picardie
1_0_1_22CC_434_1_C00000_0_0_0          |  F3 POITOU CHARENT                                |  22CC_434_1_C00000=--------                              |  f3 poitou charent=france3poitoucharentes
1_0_1_24BD_43C_1_C00000_0_0_0          |  F3 PROVENCE ALPES                                |  24BD_43C_1_C00000=--------                              |  f3 provence alpes=france3provencealpes
1_0_1_2469_440_1_C00000_0_0_0          |  F3 RHONE ALPES                                   |  2469_440_1_C00000=--------                              |  f3 rhone alpes=france3rhonealpes
1_0_1_1777_60E1_217C_5A0000_0_0_0      |  FANO TV                                          |  1777_60E1_217C_5A0000=--------                          |  fano tv=--------
1_0_1_58_2_49_2AD0000_0_0_0            |  FANO TV                                          |  58_2_49_2AD0000=--------                                |  fano tv=--------
1_0_16_1C13_384_110_5A0000_0_0_0       |  FASCINO 147                                      |  1C13_384_110_5A0000=--------                            |  fascino 147=--------
1_0_16_1C04_384_110_5A0000_0_0_0       |  FASCINO TV                                       |  1C04_384_110_5A0000=--------                            |  fascino tv=--------
1_0_19_773_9_42_1A40000_0_0_0          |  FASHION TV                                       |  773_9_42_1A40000=--------                               |  fashion tv=fashiontv
1_0_11_3756_4E85_2A_1A40000_0_0_0      |  FASHION TV HD                                    |  3756_4E85_2A_1A40000=--------                           |  fashion tv hd=fashiontv
1_0_19_A98_9DD0_16E_A00000_0_0_0       |  FAST&FUN Box HD                                  |  A98_9DD0_16E_A00000=--------                            |  fast&fun box hd=fastandfunboxhd
1_0_19_AA6_9DD0_16E_A00000_0_0_0       |  FAST&FUN Box HD                                  |  AA6_9DD0_16E_A00000=--------                            |  fast&fun box hd=fastandfunboxhd
1_0_1_582_3F2_39E_1860000_0_0_0        |  FAX NEWS                                         |  582_3F2_39E_1860000=--------                            |  fax news=faxnews
1_0_19_C9B3_76C1_42E_1A40000_0_0_0     |  FB TV                                            |  C9B3_76C1_42E_1A40000=--------                          |  fb tv=fenerbahcesporkulubu
1_0_11_4213_A929_2A_1A40000_0_0_0      |  FB TV HD                                         |  4213_A929_2A_1A40000=--------                           |  fb tv hd=fenerbahcesporkulubu
1_0_1F_2BC7_40C_1_C00000_0_0_0         |  FDF                                              |  2BC7_40C_1_C00000=--------                              |  fdf=fdf
1_0_1_77BC_40A_1_C00000_0_0_0          |  FDF                                              |  77BC_40A_1_C00000=--------                              |  fdf=fdf
1_0_1_40E_519_2_E080000_0_0_0          |  FEED OCCAS HD                                    |  40E_519_2_E080000=tv5monde                              |  feed occas hd=--------
1_0_19_1C43_4_46_E080000_0_0_0         |  FEM HD                                           |  1C43_4_46_E080000=--------                              |  fem hd=fem
1_0_19_4353_4_46_E080000_0_0_0         |  FEM HD - Tekst                                   |  4353_4_46_E080000=--------                              |  fem hd - tekst=fem
1_0_16_E3_2_1_1860000_0_0_0            |  FEN TV                                           |  E3_2_1_1860000=--------                                 |  fen tv=fentv
1_0_1_CD_12_3_130000_0_0_0             |  FEN TV HD                                        |  CD_12_3_130000=--------                                 |  fen tv hd=fentv
1_0_2_3922_A21D_42E_1A40000_0_0_0      |  FENOMEN TURK                                     |  3922_A21D_42E_1A40000=--------                          |  fenomen turk=fenomenturk
1_0_19_3AFD_A98A_42E_1A40000_0_0_0     |  FIGHT NETWORK HD                                 |  3AFD_A98A_42E_1A40000=--------                          |  fight network hd=fightnetwork
1_0_16_17EA_C82_3_EB0000_0_0_0         |  FIGHTBOX                                         |  17EA_C82_3_EB0000=--------                              |  fightbox=fightbox
1_0_19_48A_1_42_1A40000_0_0_0          |  FIGHTSCREEN                                      |  48A_1_42_1A40000=--------                               |  fightscreen=--------
1_0_1_1770_7_1_E080000_0_0_0           |  FILM NOW                                         |  1770_7_1_E080000=--------                               |  film now=filmnow
1_0_19_771_9_42_1A40000_0_0_0          |  FILMSCREEN                                       |  771_9_42_1A40000=filmboxhd                              |  filmscreen=--------
1_0_2_1518_2711_90_DDE0000_0_0_0       |  FIP                                              |  1518_2711_90_DDE0000=--------                           |  fip=fip
1_0_2_23C3_446_1_C00000_0_0_0          |  FIP                                              |  23C3_446_1_C00000=--------                              |  fip=fip
1_0_2_BFB_4E84_55F_DDE0000_0_0_0       |  FIP                                              |  BFB_4E84_55F_DDE0000=--------                           |  fip=fip
1_0_19_C871_9CA5_42E_1A40000_0_0_0     |  FLASH HABER HD                                   |  C871_9CA5_42E_1A40000=--------                          |  flash haber hd=--------
1_0_2_3B_65_0_CE4AD7C_0_0_0            |  FM HUESCA                                        |  3B_65_0_CE4AD7C=--------                                |  fm huesca=aragonradio
1_0_2_3C_65_0_CE4AD7C_0_0_0            |  FM TERUEL                                        |  3C_65_0_CE4AD7C=--------                                |  fm teruel=aragonradio
1_0_1_C68A_7660_42E_1A40000_0_0_0      |  FM TV                                            |  C68A_7660_42E_1A40000=--------                          |  fm tv=fmtelevizyonu
1_0_2_3A_65_0_CE4AD7C_0_0_0            |  FM ZARAGOZA                                      |  3A_65_0_CE4AD7C=--------                                |  fm zaragoza=aragonradio
1_0_2_47_2580_D5_820000_0_0_0          |  FM+ K                                            |  47_2580_D5_820000=--------                              |  fm+ k=radiofmplus
1_0_19_58_8800_217C_DDE0000_0_0_0      |  FOGGIA TV                                        |  58_8800_217C_DDE0000=--------                           |  foggia tv=foggiatv
1_0_1_798_9_42_1A40000_0_0_0           |  FOLK ROOTS                                       |  798_9_42_1A40000=--------                               |  folk roots=--------
1_0_1_306_7_85_C00000_0_0_0            |  FOLX MUSIC TELEVISION                            |  306_7_85_C00000=--------                                |  folx music television=folxtv
1_0_1_7C_4_1_300000_0_0_0              |  FOOD                                             |  7C_4_1_300000=--------                                  |  food=foodnetwork
1_0_1_3E9_37_1_1680000_0_0_0           |  FOX CIS                                          |  3E9_37_1_1680000=--------                               |  fox cis=fx
1_0_1_3EA_37_1_1680000_0_0_0           |  FOX HD CIS                                       |  3EA_37_1_1680000=--------                               |  fox hd cis=fx
1_0_1_3EB_37_1_1680000_0_0_0           |  FOX Life CIS                                     |  3EB_37_1_1680000=--------                               |  fox life cis=fxlife
1_0_19_4FB1_7F8_E0_1040000_0_0_0       |  FOX Life HD                                      |  4FB1_7F8_E0_1040000=--------                            |  fox life hd=foxlifehd
1_0_1_3EC_37_1_1680000_0_0_0           |  FOX Life HD CIS                                  |  3EC_37_1_1680000=--------                               |  fox life hd cis=fxlife
1_0_1_67_4_1_300000_0_0_0              |  FOX NEWS                                         |  67_4_1_300000=--------                                  |  fox news=foxnews
1_0_1_67_9_1_D7A0000_0_0_0             |  FOX NEWS                                         |  67_9_1_D7A0000=--------                                 |  fox news=foxnews
1_0_1_4ECB_CA5_3_EB0000_0_0_0          |  FOX News                                         |  4ECB_CA5_3_EB0000=--------                              |  fox news=foxnews
1_0_19_2C9_9EFC_77E_DCA0000_0_0_0      |  FR HD                                            |  2C9_9EFC_77E_DCA0000=--------                           |  fr hd=frhd
1_0_19_12D_4F4C_55F_DDE0000_0_0_0      |  FRANCE 2                                         |  12D_4F4C_55F_DDE0000=--------                           |  france 2=france2
1_0_19_245A_440_1_C00000_0_0_0         |  FRANCE 2                                         |  245A_440_1_C00000=--------                              |  france 2=france2
1_0_1_12E_3E1C_13F_820000_0_0_0        |  FRANCE 2                                         |  12E_3E1C_13F_820000=--------                            |  france 2=france2
1_0_1_516_2E7C_13F_820000_0_0_0        |  FRANCE 2                                         |  516_2E7C_13F_820000=--------                            |  france 2=france2
1_0_1F_2016_430_1_C00000_0_0_0         |  FRANCE 2 UHD HDR                                 |  2016_430_1_C00000=--------                              |  france 2 uhd hdr=france2uhd
1_0_11_4270_78B5_2A_1A40000_0_0_0      |  FRANCE 24                                        |  4270_78B5_2A_1A40000=--------                           |  france 24=france24
1_0_1_C84_107_217C_5A0000_0_0_0        |  FRANCE 24                                        |  C84_107_217C_5A0000=--------                            |  france 24=france24
1_0_1_C84_107_217C_DDE0000_0_0_0       |  FRANCE 24                                        |  C84_107_217C_DDE0000=--------                           |  france 24=france24
1_0_19_CD5D_844_2_11A0000_0_0_0        |  FRANCE 24 HD                                     |  CD5D_844_2_11A0000=--------                             |  france 24 hd=france24
1_0_19_12E_4F4C_55F_DDE0000_0_0_0      |  FRANCE 3                                         |  12E_4F4C_55F_DDE0000=--------                           |  france 3=france3
1_0_19_245D_440_1_C00000_0_0_0         |  FRANCE 3                                         |  245D_440_1_C00000=--------                              |  france 3=france3
1_0_1_12F_3E1C_13F_820000_0_0_0        |  FRANCE 3                                         |  12F_3E1C_13F_820000=--------                            |  france 3=france3
1_0_1_3_5140_55F_DDE0000_0_0_0         |  FRANCE 3                                         |  3_5140_55F_DDE0000=--------                             |  france 3=france3
1_0_1_517_2E7C_13F_820000_0_0_0        |  FRANCE 3                                         |  517_2E7C_13F_820000=--------                            |  france 3=france3
1_0_1_1001_5014_55F_DDE0000_0_0_0      |  FRANCE 3 AMIENS                                  |  1001_5014_55F_DDE0000=--------                          |  france 3 amiens=france3picardie
1_0_1_1002_5140_55F_DDE0000_0_0_0      |  FRANCE 3 BESANCON                                |  1002_5140_55F_DDE0000=--------                          |  france 3 besancon=france3franchecomte
1_0_1_1003_5078_55F_DDE0000_0_0_0      |  FRANCE 3 BORDEAUX                                |  1003_5078_55F_DDE0000=--------                          |  france 3 bordeaux=france3aquitaine
1_0_1_1004_5140_55F_DDE0000_0_0_0      |  FRANCE 3 CAEN                                    |  1004_5140_55F_DDE0000=france3normandie                  |  france 3 caen=france3normandie
1_0_1_1005_5078_55F_DDE0000_0_0_0      |  FRANCE 3 CLERMONT-FERRAND                        |  1005_5078_55F_DDE0000=--------                          |  france 3 clermont-ferrand=france3auvergne
1_0_1_1006_5140_55F_DDE0000_0_0_0      |  FRANCE 3 DIJON                                   |  1006_5140_55F_DDE0000=--------                          |  france 3 dijon=france3bourgogne
1_0_1_1007_5078_55F_DDE0000_0_0_0      |  FRANCE 3 GRENOBLE                                |  1007_5078_55F_DDE0000=--------                          |  france 3 grenoble=france3alpes
1_0_1_1008_5014_55F_DDE0000_0_0_0      |  FRANCE 3 LILLE                                   |  1008_5014_55F_DDE0000=--------                          |  france 3 lille=france3nordpasdecalais
1_0_1_1009_5078_55F_DDE0000_0_0_0      |  FRANCE 3 LIMOGES                                 |  1009_5078_55F_DDE0000=--------                          |  france 3 limoges=france3limousin
1_0_1_1010_5078_55F_DDE0000_0_0_0      |  FRANCE 3 LYON                                    |  1010_5078_55F_DDE0000=--------                          |  france 3 lyon=france3rhonealpes
1_0_1_1011_5078_55F_DDE0000_0_0_0      |  FRANCE 3 MARSEILLE                               |  1011_5078_55F_DDE0000=--------                          |  france 3 marseille=france3provencealpes
1_0_1_1012_5078_55F_DDE0000_0_0_0      |  FRANCE 3 MONTPELLIER                             |  1012_5078_55F_DDE0000=--------                          |  france 3 montpellier=france3languedocroussillon
1_0_1_1013_5014_55F_DDE0000_0_0_0      |  FRANCE 3 NANCY                                   |  1013_5014_55F_DDE0000=--------                          |  france 3 nancy=france3lorraine
1_0_1_1028_5140_55F_DDE0000_0_0_0      |  FRANCE 3 NANTES                                  |  1028_5140_55F_DDE0000=--------                          |  france 3 nantes=france3paysdelaloire
1_0_1_1015_5014_55F_DDE0000_0_0_0      |  FRANCE 3 NICE                                    |  1015_5014_55F_DDE0000=--------                          |  france 3 nice=france3cotedazur
1_0_1_1016_5140_55F_DDE0000_0_0_0      |  FRANCE 3 ORLEANS                                 |  1016_5140_55F_DDE0000=--------                          |  france 3 orleans=france3centre
1_0_1_1017_5140_55F_DDE0000_0_0_0      |  FRANCE 3 PARIS                                   |  1017_5140_55F_DDE0000=--------                          |  france 3 paris=france3parisiledefrance
1_0_1_1029_5140_55F_DDE0000_0_0_0      |  FRANCE 3 POITIERS                                |  1029_5140_55F_DDE0000=--------                          |  france 3 poitiers=france3poitoucharentes
1_0_1_1019_5014_55F_DDE0000_0_0_0      |  FRANCE 3 REIMS                                   |  1019_5014_55F_DDE0000=--------                          |  france 3 reims=france3champagneardenne
1_0_1_1020_5078_55F_DDE0000_0_0_0      |  FRANCE 3 RENNES                                  |  1020_5078_55F_DDE0000=--------                          |  france 3 rennes=france3bretagne
1_0_1_1021_5140_55F_DDE0000_0_0_0      |  FRANCE 3 ROUEN                                   |  1021_5140_55F_DDE0000=--------                          |  france 3 rouen=france3normandie
1_0_1_1022_5014_55F_DDE0000_0_0_0      |  FRANCE 3 STRASBOURG                              |  1022_5014_55F_DDE0000=--------                          |  france 3 strasbourg=france3alsace
1_0_1_1023_5014_55F_DDE0000_0_0_0      |  FRANCE 3 TOULOUSE                                |  1023_5014_55F_DDE0000=--------                          |  france 3 toulouse=france3midipyrenees
1_0_1_1024_5014_55F_DDE0000_0_0_0      |  FRANCE 3 VIA STELLA                              |  1024_5014_55F_DDE0000=--------                          |  france 3 via stella=france3corse
1_0_19_12F_4F4C_55F_DDE0000_0_0_0      |  FRANCE 4                                         |  12F_4F4C_55F_DDE0000=--------                           |  france 4=france4
1_0_19_2468_440_1_C00000_0_0_0         |  FRANCE 4                                         |  2468_440_1_C00000=--------                              |  france 4=france4
1_0_1_13A_3E1C_13F_820000_0_0_0        |  FRANCE 4                                         |  13A_3E1C_13F_820000=--------                            |  france 4=france4
1_0_1_522_2E7C_13F_820000_0_0_0        |  FRANCE 4                                         |  522_2E7C_13F_820000=--------                            |  france 4=france4
1_0_19_1A3_4FB0_55F_DDE0000_0_0_0      |  FRANCE 5                                         |  1A3_4FB0_55F_DDE0000=--------                           |  france 5=france5
1_0_19_2330_442_1_C00000_0_0_0         |  FRANCE 5                                         |  2330_442_1_C00000=--------                              |  france 5=france5
1_0_1_131_3E1C_13F_820000_0_0_0        |  FRANCE 5                                         |  131_3E1C_13F_820000=--------                            |  france 5=france5
