1_0_19_772_9_42_1A40000_0_0_0           |  BBC WORLD NEWS                                   |  772_9_42_1A40000=--------                               |  bbcworldnews=bbcnews
1_0_11_426B_78B5_2A_1A40000_0_0_0       |  BBC WORLD NEWS HD                                |  426B_78B5_2A_1A40000=--------                           |  bbcworldnewshd=bbcnews
1_0_1_6_1_212C_1860000_0_0_0            |  BBC World                                        |  6_1_212C_1860000=--------                               |  bbcworld=bbcnews
1_0_1_6A_4_64_300000_0_0_0              |  BBC World News                                   |  6A_4_64_300000=--------                                 |  bbcworldnews=bbcnews
1_0_1_165_19C8_9E_5A0000_0_0_0          |  BBC_Entertainment_Europe                         |  165_19C8_9E_5A0000=--------                             |  bbcentertainmenteurope=bbcentertainment
1_0_1_CBC_3FC_39E_1860000_0_0_0         |  BBF                                              |  CBC_3FC_39E_1860000=--------                            |  bbf=bbf
1_0_1_7891_414_1_C00000_0_0_0           |  BE MAD                                           |  7891_414_1_C00000=--------                              |  bemad=bemad
1_0_1_C9B7_76C1_42E_1A40000_0_0_0       |  BEA                                              |  C9B7_76C1_42E_1A40000=--------                          |  bea=--------
1_0_19_2462_440_1_C00000_0_0_0          |  BEIN SPORTS 1                                    |  2462_440_1_C00000=--------                              |  beinsports1=beinsports1
1_0_19_2012_430_1_C00000_0_0_0          |  BEIN SPORTS 2                                    |  2012_430_1_C00000=--------                              |  beinsports2=beinsports2
1_0_19_2013_430_1_C00000_0_0_0          |  BEIN SPORTS 3                                    |  2013_430_1_C00000=--------                              |  beinsports3=beinsports3
1_0_19_2074_432_1_C00000_0_0_0          |  BEIN SPORTS MAX 10                               |  2074_432_1_C00000=--------                              |  beinsportsmax10=beinsportsmax10
1_0_19_2009_430_1_C00000_0_0_0          |  BEIN SPORTS MAX 4                                |  2009_430_1_C00000=--------                              |  beinsportsmax4=beinsportsmax4
1_0_19_200A_430_1_C00000_0_0_0          |  BEIN SPORTS MAX 5                                |  200A_430_1_C00000=--------                              |  beinsportsmax5=beinsportsmax5
1_0_19_200B_430_1_C00000_0_0_0          |  BEIN SPORTS MAX 6                                |  200B_430_1_C00000=--------                              |  beinsportsmax6=beinsportsmax6
1_0_19_2071_432_1_C00000_0_0_0          |  BEIN SPORTS MAX 7                                |  2071_432_1_C00000=--------                              |  beinsportsmax7=beinsportsmax7
1_0_19_2072_432_1_C00000_0_0_0          |  BEIN SPORTS MAX 8                                |  2072_432_1_C00000=--------                              |  beinsportsmax8=beinsportsmax8
1_0_19_2073_432_1_C00000_0_0_0          |  BEIN SPORTS MAX 9                                |  2073_432_1_C00000=--------                              |  beinsportsmax9=beinsportsmax9
1_0_1_5_1_FFFF_1CC2B7F_0_0_0            |  BELARUS24 HD                                     |  5_1_FFFF_1CC2B7F=--------                               |  belarus24hd=belarus24
